
Project:     20250213_0730_ie
Program:     Inertial Explorer Version 8.90.4416
Profile:     IPNL_URBANNAV_with_std_revise
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\IPNL_Experiment\Desktop\20250213\20250213_0730_ie.cts
ProcessInfo: 20250213_0730_ie by Unknown on 2/19/2025 at 12:23:15

Datum:       WGS84
Master 1:    Name HKSC, Status ENABLED
             Antenna height 0.008 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 22 19 19.81949, 114 08 28.27666, 20.239 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [NOV703GGG.R2(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.073, y=-0.032, z=1.071 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=90.000 degrees
UTC Offset:  18 s
SD Scaling Settings:
  Position: 1.0000
  Velocity: 1.0000
  Attitude: 1.0000

       UTCTime       Week    GPSTime       Latitude      Longitude        H-Ell       X-ECEF       Y-ECEF       Z-ECEF   VX-ECEF   VY-ECEF   VZ-ECEF     VEast    VNorth       VUp VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q     SDX-ECEF     SDY-ECEF     SDZ-ECEF       SDEast      SDNorth     SDHeight         HdngSD     SD-VN     SD-VE     SD-VH         RollSD        PitchSD        AzStDev
         (sec)    (weeks)      (sec)          (deg)          (deg)          (m)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)            (m)          (m)          (m)          (m)          (m)          (m)          (deg)     (m/s)     (m/s)     (m/s)          (deg)          (deg)          (deg)
1739447653.000 2353.00000 388471.000  22.2930578392 114.1742057079        3.194 -2417865.425  5386478.870  2404470.889    -0.008    -0.002    -0.011     0.008    -0.010    -0.003   0.008  -0.010  -0.004   0.036  -0.015  -0.005  -7.2259374474   0.5709696316   3.0388077172 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0210970938     0.002     0.002     0.001   0.0039014157   0.0040652165   0.0000000000
1739447654.000 2353.00000 388472.000  22.2930578129 114.1742059019        3.197 -2417865.445  5386478.866  2404470.888    -0.011    -0.013    -0.012     0.015    -0.009    -0.011   0.014  -0.008  -0.013  -0.016  -0.058  -0.004  -6.7517804944  -0.2479704042   1.1357112119 1        0.004        0.006        0.004        0.003        0.004        0.006   0.0211080331     0.002     0.002     0.001   0.0040393230   0.0041130478   0.0000000000
1739447655.000 2353.00000 388473.000  22.2930576967 114.1742059434        3.192 -2417865.449  5386478.864  2404470.874     0.010    -0.002    -0.014    -0.008    -0.011    -0.011  -0.009  -0.011  -0.010  -0.079   0.173  -0.076  -7.2825685959   0.3237841796   0.2470823196 2        0.004        0.006        0.004        0.003        0.004        0.006   0.0211193003     0.002     0.002     0.001   0.0041578249   0.0041369814   0.0000000000
1739447656.000 2353.00000 388474.000  22.2930576112 114.1742060766        3.186 -2417865.460  5386478.856  2404470.863    -0.005    -0.006    -0.008     0.007    -0.006    -0.006   0.006  -0.006  -0.006   0.136  -0.094   0.207  -6.3149746602   1.6873034109  -0.2806465986 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0211304817     0.002     0.002     0.001   0.0042379084   0.0041338475   0.0000000000
1739447657.000 2353.00000 388475.000  22.2930577570 114.1742058480        3.182 -2417865.435  5386478.857  2404470.876     0.043     0.008     0.003    -0.043     0.006    -0.008  -0.044   0.003  -0.003   0.291  -0.029   0.055  -7.4204967259   0.7539265147   3.6570291781 2        0.004        0.007        0.005        0.003        0.005        0.007   0.0211418867     0.002     0.002     0.001   0.0042635482   0.0040882817   0.0000000000
1739447658.000 2353.00000 388476.000  22.2930576791 114.1742057317        3.176 -2417865.423  5386478.860  2404470.866     0.014    -0.001    -0.007    -0.012    -0.004    -0.008  -0.013  -0.005  -0.006  -0.008   0.087   0.064  -8.0572075349   0.6469667535   4.4684061710 2        0.004        0.007        0.005        0.003        0.005        0.007   0.0211521685     0.002     0.002     0.001   0.0042156000   0.0040138210   0.0000000000
1739447659.000 2353.00000 388477.000  22.2930576980 114.1742055466        3.174 -2417865.405  5386478.866  2404470.867     0.009     0.004     0.011    -0.010     0.011     0.004  -0.010   0.010   0.006   0.056  -0.021   0.122  -8.5714600743   0.0684684565   3.3785201235 2        0.004        0.007        0.005        0.003        0.005        0.007   0.0211601965     0.002     0.002     0.001   0.0040807030   0.0039344295   0.0000000000
1739447660.000 2353.00000 388478.000  22.2930577784 114.1742057084        3.180 -2417865.421  5386478.861  2404470.878    -0.016    -0.023     0.005     0.023     0.010    -0.012   0.021   0.011  -0.014  -0.276   0.163  -0.190  -6.7786292967  -0.8680998146   2.6608503781 1        0.004        0.007        0.005        0.003        0.005        0.007   0.0211664513     0.002     0.002     0.001   0.0038588117   0.0038698311   0.0000000000
1739447661.000 2353.00000 388479.000  22.2930580117 114.1742054407        3.184 -2417865.393  5386478.866  2404470.903     0.061     0.007     0.017    -0.058     0.023    -0.010  -0.060   0.020  -0.004   0.276   0.017   0.013  -6.1873712296  -1.4728453082   2.6392555988 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211718455     0.002     0.002     0.001   0.0037169645   0.0038278059   0.0000000000
1739447662.000 2353.00000 388480.000  22.2930582091 114.1742050621        3.182 -2417865.353  5386478.873  2404470.923     0.027     0.017     0.028    -0.032     0.024     0.015  -0.031   0.022   0.019   0.086  -0.074   0.049  -6.9764487051  -1.8417098071   2.6606613020 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211763661     0.002     0.002     0.001   0.0036996338   0.0038067775   0.0000000000
1739447663.000 2353.00000 388481.000  22.2930586893 114.1742054271        3.182 -2417865.379  5386478.839  2404470.972    -0.114    -0.111     0.159     0.149     0.168     0.010   0.209   0.083  -0.008   0.362   0.509  -0.108  -6.4414379047  -3.5520747692 -26.4000334982 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211808849     0.002     0.002     0.001   0.0036826825   0.0037851017   0.0000000000
1739447664.000 2353.00000 388482.000  22.2930610875 114.1742068173        3.183 -2417865.469  5386478.689  2404471.218     0.034    -0.064     0.154    -0.005     0.170    -0.008   0.166  -0.027  -0.028  -0.225   0.137   0.059  -6.1207878042  -3.9558896937 -101.146583383 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0211825985     0.002     0.002     0.001   0.0036632668   0.0038098423   0.0000000000
1739447665.000 2353.00000 388483.000  22.2930621779 114.1742058124        3.194 -2417865.360  5386478.700  2404471.334     0.143     0.066     0.080    -0.158     0.073     0.032   0.176  -0.013   0.014  -0.850   0.592  -0.092  -5.5653682472  -6.1431331583 -158.249390710 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0211814102     0.002     0.002     0.001   0.0040022214   0.0038101503   0.0000000000
1739447666.000 2353.00000 388484.000  22.2930573171 114.1742068592        3.188 -2417865.540  5386478.836  2404470.833    -0.414     0.472    -1.089     0.184    -1.235     0.142  -0.130   1.176   0.425  -0.010  -1.131  -1.435  -6.8291469855 -12.5318474867 179.7609474782 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211780183     0.002     0.002     0.001   0.0040115570   0.0037686869   0.0000000000
1739447667.000 2353.00000 388485.000  22.2930449241 114.1742092754        3.167 -2417865.972  5386479.192  2404469.556    -0.281     0.457    -1.459     0.069    -1.552    -0.061  -0.091   1.537   0.214  -0.483  -2.670  -0.476  -4.1943661871  -9.9283501839 -178.616115189 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211723074     0.002     0.002     0.001   0.0038414558   0.0036871750   0.0000000000
1739447668.000 2353.00000 388486.000  22.2930302650 114.1742105865        3.154 -2417866.343  5386479.687  2404468.049    -0.391     0.546    -1.428     0.133    -1.571     0.067  -0.108   1.529   0.377  -0.205  -0.457  -1.767  -4.7163307385 -11.0523615977 -179.769496419 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211652126     0.002     0.002     0.001   0.0036176611   0.0036046745   0.0000000000
1739447669.000 2353.00000 388487.000  22.2930156743 114.1742120179        3.120 -2417866.715  5386480.157  2404466.541    -0.329     0.407    -1.370     0.134    -1.459    -0.051  -0.155   1.449   0.160  -0.482   0.424  -0.801  -5.2185110572  -7.7420578292 -178.605618602 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211560577     0.002     0.002     0.001   0.0036361637   0.0035711809   0.0000000000
1739447670.000 2353.00000 388488.000  22.2930025502 114.1742136597        3.090 -2417867.084  5386480.565  2404465.185    -0.301     0.316    -1.209     0.145    -1.274    -0.078  -0.190   1.266   0.105  -0.696   0.867  -1.221  -5.7042933238  -7.3919405094 -177.543704354 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211451370     0.002     0.002     0.001   0.0036570581   0.0035850455   0.0000000000
1739447671.000 2353.00000 388489.000  22.2929935337 114.1742138643        3.070 -2417867.251  5386480.886  2404464.254    -0.057     0.140    -0.643    -0.006    -0.652    -0.104   0.208   0.623  -0.071  -1.099  -0.313  -1.058  -7.7543592331  -5.7216711337 161.1681175220 2        0.004        0.006        0.004        0.003        0.004        0.007   0.0211327765     0.002     0.002     0.001   0.0036760129   0.0035958132   0.0000000000
